user_login,is_person
dependabot[bot],False
LabhanshAgrawal,True
matheuss,True
qmutz,False
T-O-R-U-S,False
M4Hastam,False
bet4it,False
leodr,True
lollilol,False
kawarimidoll,False
colby-swandale,True
akashagarwal783,False
dagronlund,True
tpanning,True
Anshu-jindal,True
supsa-ak,True
msb217,True
styfle,True
srevinsaju,True
danacr,True
Zachpocalypse,True
TSAI-MY,False
fulldecent,True
dependabot-preview[bot],False
sarupbanskota,True
rocket-squirrel,False
eertmanhidde,True
simonxabris,True
Rasukarusan,True
Stanzilla,True
cristianbgp,True
ivanwonder,False
mikemcbride,True
yohan-choi-dev,True
ahmedx2,True
tuxinaut,True
lgeiger,True
razfriman,True
GitSquared,True
ShaggyDev,True
Aebrathia,True
joeamis95,True
gabrieldrs,True
Lyncredible,True
jamesgeorge007,True
kaushikchaubal,True
TheRealSyler,True
pookdeveloper,False
MisterTea,True
mjjames,True
JoshuaKGoldberg,True
guidsdo,True
Vico1993,True
pablopunk,True
chamoda,True
erictaylor,True
Luxcium,True
DaneTheory,True
juancampa,True
zacharyrs,True
chabou,False
charlesscheuer,True
kant,True
kbrock84,True
JamesAndrewJackson13,True
cameronhimself,True
ArtBIT,False
frux,True
vosdev,True
ppot,True
Kacppian,True
cwlowder,True
evilrabbit,False
lpedromachado,True
doniyor2109,True
igorsdv,True
pndyjack,True
wanderingstan,True
jakub-chatrny,True
ulentini,True
dfrankland,True
pi0,False
parktheredcar,True
fernandosutter,True
nersoh,True
zerdos,True
phungtuanhoang1996,True
robertgrzonka,False
MatthiasWinkelmann,True
olsgreen,True
brent-shaw,False
V1NAY8,True
plus7wist,False
szincone,False
keanemind,True
brandon93s,True
danielbayerlein,True
steven-isbell,True
xbtsw,True
ShanTulshi,False
hayer,True
itaisteinherz,True
hectorqin,False
miyaokamarina,True
audiolion,True
jocull,True
teekwak,True
timothyis,True
leo,True
pierreneter,True
PlanetVaster,True
hknielsen,True
ahmadmzak,True
prashant-andani,True
pd4d10,True
LevitatingBusinessMan,False
astronomersiva,False
SamuelTulach,True
mdogadailo,True
Pavel-Durov,True
razzius,True
El-Dringo-Brannde,True
markozxuu,True
jcrben,True
chhschou,True
greenkeeper[bot],False
WeslyG,True
rfgamaral,True
ahutchings,True
jaridmargolin,True
jaydh,True
mtslzr,True
lujjjh,True
ghost,False
DanielRuf,True
sonnyg,True
umpc,True
Manish-Giri,True
tjwelde,True
bdougherty,True
mapitman,True
tool3,True
hharnisc,True
albinekb,True
ajomadlabs,True
amiram,True
Ameya05,True
aditya0099,True
lesce,True
codetriage-readme-bot,True
MrMaxie,True
angristan,True
saamalik,True
ethanx94,True
parksb,True
bgw,True
daniel-liuzzi,True
stepanvanzuriak,True
abranhe,True
Tyriar,True
ineeve,True
NadiaCarvalho,True
rpedro10,True
bernardoleite,False
claudiarodrigues,False
cyrilico,True
3rdvision,True
Carolina-Rocha,False
dcalhoun,True
chillininvt,True
MortadaAK,True
blackhands77,False
gutierri,False
EdgarACarneiro,True
BooYoungLee,False
ELLIOTTCABLE,False
antonioalmeida,True
kih1024,False
baukevanderlaan,True
AndreFCruz,True
Xapphire13,True
theRemix,True
tbodt,True
KevinRizzoTO,True
kjswalls,True
derrickpelletier,True
spejamchr,True
Flaque,True
KunalKene1797,True
UltCombo,True
oswaldoacauan,True
PeterDaveHello,True
matmerr,True
siimorasmae,True
AndyBitz,True
hendrysadrak,True
stefanmiodrag,True
Cygnusfear,True
fernahh,True
PerStirpes,False
asantos00,True
rauchg,True
minachuong,True
mojoaxel,True
richsilv,True
maxkeiser,False
wilsontayar,True
donghaoren,True
h93xV2,False
arojunior,True
louislva,True
okonek,True
awarmfastbear,True
nesl247,True
bosconian-dynamics,True
asthas,True
rickycodes,False
terry-pan-dev,True
jeremenichelli,True
ChrHan,False
cerebrate,True
nitsakh,True
tschoffelen,True
tzilist,True
tibotiber,True
casesandberg,False
allanchau,True
mihaliak,True
bbshih,True
Specro,True
stephencookdev,True
paolorotolo,True
MartyGentillon,True
paulbouwer,True
galadriel2143,False
leovafme,True
piotr-yuxuan,False
gordon2012,True
mfix22,True
kvakulo,True
zsol,True
leolaurentius,True
thephilip,False
berkin,False
Erazihel,True
roolebo,True
henrikdahl,True
air,True
stefanivic,True
j1n6,True
skeate,True
kwonoj,True
gsklee,True
martinvd,True
flexiondotorg,True
aoki,False
felixrieseberg,True
grahamkennery,True
miguelcg,True
kandros,True
L-A,True
chantisnake,False
anaisbetts,True
ryzokuken,True
nw,True
micopc,True
AlmirKadric,True
jmcmellen,True
alexfedoseev,True
dotcypress,True
supersam654,True
timneutkens,True
evanxd,True
KevinRamsunder,True
mqudsi,True
nbolten,True
knewter,True
IanMitchell,True
jongalloway,True
paulschreiber,True
spirosikmd,True
zuice,True
sterdev,False
greenkeeperio-bot,False
breber,True
Snack-X,False
vaporwavie,True
dkniffin,True
zbuttram,True
vors,True
levrik,True
CWSpear,True
flyngate,True
oliverdunk,True
mike-engel,True
davegomez,True
iamstarkov,True
weslleyaraujo,True
dmk,True
shama,True
parro-it,True
davidbarsky,True
MrRio,True
vitorgalvao,True
colepeters,False
ekmartin,True
shime,True
fearphage,True
c0b41,True
kennethpdev,True
flybayer,True
DaleLJefferson,True
maxdeviant,True
patrik-piskay,True
nicksrandall,True
rbelouin,True
BenoitAverty,True
bildepunkt,True
capaj,True
Rowno,True
trevordmiller,True
aurelienbottazini,True
TooTallNate,True
BrianDGLS,True
Zearin,True
mathisonian,True
vinkla,True
rjsteinert,True
