Owner,Repository,Star,Contributor,Path
Nicocco,clic-schematics,3,1,.github/CODE_OF_CONDUCT.md
trailheadapps,dreaminvest-lwc,39,8,CODE_OF_CONDUCT.md
lioncorpo,documents,1,1,translations/de-DE/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
jasontest1234,skywalking,0,222,CODE_OF_CONDUCT.md
fadishami,visualforce-to-lwc,2,12,CODE_OF_CONDUCT.md
sultandxb,cautious-parakeet,0,1,_articles/code-of-conduct.md
yveslym,chores-server,0,2,vendor/cache/ruby/2.5.0/gems/devise-4.4.1/CODE_OF_CONDUCT.md
Rsoon,Rsoontwitterhouse,0,1,vendor/bundle/gems/devise-4.0.1/CODE_OF_CONDUCT.md
sourcecred,docs,9,21,docs/contributing/CODE_OF_CONDUCT.md
mgckind,des_ncsa,0,5,static/bower_components/pouchdb/CODE_OF_CONDUCT.md
ITNoesis,superset,0,435,CODE_OF_CONDUCT.md
vinaysundar550gmaill,vinay,0,1,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
vinaysundar550gmaill,vinay,0,1,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
creativecommons,cc.api,2,4,CODE_OF_CONDUCT.md
kumardev77,ecommercePracticeCode,0,1,sfcc-sample-apps/CODE_OF_CONDUCT.md
rcdd,PluginScrollShadow,0,0,CODE_OF_CONDUCT.md
roland-valdez,101-exercises,0,1,CODE_OF_CONDUCT.md
CRiva,CRiva.github.io,0,2,CODE_OF_CONDUCT.md
gazza2577,arduino,0,1,libraries/DHT_sensor_library/code-of-conduct.md
ahmedreza80,dd,0,2,vendor/bundle/ruby/2.3.0/gems/devise-4.4.3/CODE_OF_CONDUCT.md
ahmedreza80,dd,0,2,vendor/bundle/ruby/2.5.0/gems/devise-4.4.3/CODE_OF_CONDUCT.md
gazza2577,arduino,0,1,libraries/DHT_sensor_library/code-of-conduct.md
Susansays,MS_Terminal,0,34,CODE_OF_CONDUCT.md
kumardev77,ecommercePracticeCode,0,1,sfcc-sample-apps/CODE_OF_CONDUCT.md
ccaseau,quizApp,0,1,www/lib/pouchdb/CODE_OF_CONDUCT.md
creativecommons,cc-licenses-data,2,19,CODE_OF_CONDUCT.md
forcedotcom,oss-template,1,0,CODE_OF_CONDUCT.md
jinlii,lwc-recipes,0,6,CODE_OF_CONDUCT.md
forcedotcom,sf-fx-runtime-java,2,2,CODE_OF_CONDUCT.md
Slimefun-Addon-Community,Community-Center,1,2,CODE_OF_CONDUCT.md
smurgai2016,kuberneteswebsite,0,374,content/it/community/static/cncf-code-of-conduct.md
smurgai2016,kuberneteswebsite,0,374,content/en/community/static/cncf-code-of-conduct.md
sidrodev,kelly-plus-kelly,0,1,CODE_OF_CONDUCT.md
kanwalnainsingh,OpenDesk,39,16,code-of-conduct.md
Semicolon2020,pioneers,0,4,PioneersWeb/vendor/symfony/symfony/.github/CODE_OF_CONDUCT.md
Uv-Grade,northamericanlimousine.com,0,1,bower_components/chai/CODE_OF_CONDUCT.md
Kurubushisox,Recipe_App,0,0,vendor/bundle/ruby/2.3.0/gems/devise-4.4.3/CODE_OF_CONDUCT.md
neuralgeeks,fun.framework,0,1,CODE_OF_CONDUCT.md
Raku,problem-solving,60,11,solutions/meta/code_of_conduct.md
igoradamenko,the-best-package,7,1,CODE_OF_CONDUCT.md
vinaysundar550gmaill,vinay,0,1,translations/ru-RU/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
vinaysundar550gmaill,vinay,0,1,translations/ko-KR/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
vinaysundar550gmaill,vinay,0,1,content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
spacetelescope,braindump,1,7,CODE_OF_CONDUCT.md
forcedotcom,SalesforceMobileSDK-Benchmarks,0,1,CODE_OF_CONDUCT.md
lioncorpo,documents,1,1,translations/de-DE/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
devnw,atomizer-test-console,0,3,.github/CODE_OF_CONDUCT.md
Secure-Compliance-Solutions-LLC,GVM-Docker,121,14,CODE_OF_CONDUCT.md
GaryNLOL,Supple-Crystal,0,1,docs/CODE_OF_CONDUCT.md
maryamzain123,topmovies,0,1,CODE_OF_CONDUCT.md
readmeio,har-examples,0,2,CODE_OF_CONDUCT.md
osdevisnot,sorvor,62,1,CODE_OF_CONDUCT.md
cosmos,v1.cosmos.network,7,6,CODE_OF_CONDUCT.md
tomaspietravallo,sparkar-fdccc2020,18,1,code-of-conduct.md
erdaltsksn,blank,4,1,.github/CODE_OF_CONDUCT.md
opentok,accelerator-screen-sharing-js,14,11,CODE_OF_CONDUCT.md
orlowdev,priestine-grace,1,0,CODE_OF_CONDUCT.md
mizuno61,Railscamp_blog_take2,0,1,vendor/bundle/gems/devise-4.5.0/CODE_OF_CONDUCT.md
RonSeekers,skywalking,0,216,CODE_OF_CONDUCT.md
moriwuzhe,skywalking,0,136,CODE_OF_CONDUCT.md
apple,HomeKitADK,2135,16,CODE_OF_CONDUCT.md
Herz8,BalconyWayofLife,1,1,.pio/libdeps/uno/RTClib/code-of-conduct.md
cryptic-network,cryptic,0,1,external/rocksdb/CODE_OF_CONDUCT.md
nicholashu,wedding,0,1,CODE_OF_CONDUCT.md
uwxpro,Sato,0,1,external/rocksdb/CODE_OF_CONDUCT.md
serverlessworkflow,synapse,7,2,code-of-conduct.md
micro-manager,micro-manager,136,18,CodeOfConduct.md
BryanLaura,Google-api-python-client,1,123,translations/zh-CN/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
BryanLaura,Google-api-python-client,1,123,translations/ja-JP/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
TarsCloud,TarsFoundation,4,5,code-of-conduct.md
jacro-invoke,meme,0,1,VRTK-Base-Jack/.github/CODE_OF_CONDUCT.md
USGS-Astrogeology,ISIS_TC,4,47,BasePolicies/CODE_OF_CONDUCT.md
kumahq,kuma-demo,37,15,CODE_OF_CONDUCT.md
PowerShell,PSSwagger,162,10,CODE_OF_CONDUCT.md
pradyun,materialism,4,1,CODE_OF_CONDUCT.md
artificialdinosaur,dinosaurjoy,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
kbsa,wp_kingdom,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
kowit,stb,0,0,vendor/ruby/2.5.0/gems/devise-4.4.3/CODE_OF_CONDUCT.md
fadishami,lwc-recipes,1,21,CODE_OF_CONDUCT.md
sywong2000,Arduino,0,1,libraries/Adafruit_INA219/code-of-conduct.md
serverlessworkflow,vscode-extension,6,3,code-of-conduct.md
lioncorpo,Docs.,0,1,translations/zh-CN/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
xiongchaoren,blog_source,0,1,themes/next/.github/CODE_OF_CONDUCT.md
iuriifaevskii,wp_shop,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
manjeetbrar91,php-test,0,2,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
JDanielCortez,tigerDirect,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
sergiocasao,capitalino-errante,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
salesforce,cos-e,125,1,CODE_OF_CONDUCT.md
lumendez,minuta,0,1,vendor/bundle/ruby/2.2.0/gems/devise-4.2.0/CODE_OF_CONDUCT.md
shoichinishiguchi,rspec-practice-shoichi,0,1,vendor/bundle/ruby/2.3.0/gems/devise-4.4.3/CODE_OF_CONDUCT.md
Lyappunov,laraClassify_notuddekk_1,0,1,vendor/aws/aws-sdk-php/CODE_OF_CONDUCT.md
venztech103,venz-skill-sample-nodejs-pet-tales,0,1,CODE_OF_CONDUCT.md
aws-quickstart,quickstart-git2s3,145,23,CODE_OF_CONDUCT.md
rich5k,freelancelot,0,3,vendor/stripe/stripe-php/CODE_OF_CONDUCT.md
OgulcanCulfa,PHP-StripeAPI,1,1,vendor/stripe/stripe-php/CODE_OF_CONDUCT.md
creativecommons,sre-salt-prime,9,4,CODE_OF_CONDUCT.md
thisisdevanshu,Landmark-Detection-CNN,0,3,CODE_OF_CONDUCT.md
mtho11,kiali-backend,0,1,CODE_OF_CONDUCT.md
AnethOchoa,DAW,0,1,Artesanias/public/dash/CODE_OF_CONDUCT.md
zygmunman,nuestra_biblioteca,0,1,public/assets/lte/bower_components/bootstrap-datepicker/CODE_OF_CONDUCT.md
BouchetaSanaa,sac_a_dos,0,0,css/bootstrap-5.0.0-beta1/CODE_OF_CONDUCT.md
fachryhidayat7,perpustakaan,0,1,public/assets/bower_components/bootstrap-datepicker/CODE_OF_CONDUCT.md
nkj06,StudyArduino,0,1,libraries/DHT_sensor_library/code-of-conduct.md
poommooq,puff_pie,0,1,data/wordpress/wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
trungnh,vtech,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
macieki,Endokrynologia,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
dextersecret,ebikes-demo,0,8,CODE_OF_CONDUCT.md
BOHICA-LABS,BLAOS,0,1,CODE_OF_CONDUCT.md
RameshEY,website,0,370,content/en/community/code-of-conduct.md
satohide3100,socialboost,0,1,vendor/bundle/gems/devise-4.5.0/CODE_OF_CONDUCT.md
dsaa151562000,diveintocode02,0,1,vendor/bundler/ruby/2.3.0/gems/devise-4.1.1/CODE_OF_CONDUCT.md
dsaa151562000,diveintocode02,0,1,vendor/bundler/ruby/2.3.0/gems/devise-4.0.0/CODE_OF_CONDUCT.md
charbel-elhajj,active_interaction_mapper,0,1,CODE_OF_CONDUCT.md
Octo8080X,test_gem_2,0,1,CODE_OF_CONDUCT.md
absinthe-graphql,dataloader,374,33,CODE_OF_CONDUCT.md
tikv,tikv,9349,295,CODE_OF_CONDUCT.md
dnardo,cluster-proportional-vertical-autoscaler-old,0,6,code-of-conduct.md
benoit17630,serveur-prive,0,1,CODE_OF_CONDUCT.md
hassio-addons,addon-jupyterlab,29,7,CODE_OF_CONDUCT.md
sailakshmik,Bigtable,0,45,CODE_OF_CONDUCT.md
kywvane,Autofac.InjectionAttribute,0,1,src/Autofac/Autofac-develop/Autofac-develop/CODE_OF_CONDUCT.md
lypht,java-prototype,0,1,CODE-OF-CONDUCT.md
gridgentoo,kiali,0,15,CODE_OF_CONDUCT.md
d-d-d-d-d,uncorked,0,4,Assets/VRTK-master/CODE_OF_CONDUCT.md
lioncorpo,Docs.,0,1,translations/ja-JP/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
test1-2-3,canatap,0,1,vendor/bundle/ruby/2.5.0/gems/devise-4.5.0/CODE_OF_CONDUCT.md
johnfelixespinosa,custom_blog,0,1,vendor/bundle/ruby/2.3.0/gems/devise-3.5.6/CODE_OF_CONDUCT.md
mwahyudimw,cms-blog,0,1,vendor/google/auth/CODE_OF_CONDUCT.md
margsilva16,project2,0,1,vendor/league/commonmark/CODE_OF_CONDUCT.md
iambobbyballe,psb,1,1,vendor/league/commonmark/CODE_OF_CONDUCT.md
pavel-corsaghin,google-api-python-client,0,93,CODE_OF_CONDUCT.md
simboyy,adspaces-zw,0,2,client/bower_components/angular-ui-bootstrap/CODE_OF_CONDUCT.md
Yash-Singh1,epack,3,5,CODE_OF_CONDUCT.md
salesforceiq-oss,z-index-manager,1,5,CODE_OF_CONDUCT.md
benmoumene,laravel-6-full-project,0,1,vendor/league/commonmark/CODE_OF_CONDUCT.md
phdafoe,CIGitHubActions,0,1,vendor/bundle/ruby/2.6.0/gems/google-cloud-env-1.4.0/CODE_OF_CONDUCT.md
phdafoe,CIGitHubActions,0,1,vendor/bundle/ruby/2.6.0/gems/google-cloud-core-1.5.0/CODE_OF_CONDUCT.md
phdafoe,CIGitHubActions,0,1,vendor/bundle/ruby/2.6.0/gems/google-cloud-errors-1.0.1/CODE_OF_CONDUCT.md
phdafoe,CIGitHubActions,0,1,vendor/bundle/ruby/2.6.0/gems/google-cloud-storage-1.30.0/CODE_OF_CONDUCT.md
phdafoe,CIGitHubActions,0,1,vendor/bundle/ruby/3.0.0/gems/googleauth-0.15.1/CODE_OF_CONDUCT.md
phdafoe,CIGitHubActions,0,1,vendor/bundle/ruby/2.6.0/gems/googleauth-0.15.1/CODE_OF_CONDUCT.md
phdafoe,CIGitHubActions,0,1,vendor/bundle/ruby/2.6.0/gems/google-api-client-0.38.0/CODE_OF_CONDUCT.md
Zubach,laravel,0,1,vendor/league/commonmark/CODE_OF_CONDUCT.md
xiaoxiaadmin123,1910phpa,0,1,vendor/league/commonmark/CODE_OF_CONDUCT.md
oyenet1,Al-Ansar-foundation,0,1,vendor/league/commonmark/CODE_OF_CONDUCT.md
czoner3,Reto3,1,4,vendor/league/commonmark/CODE_OF_CONDUCT.md
nsid98,meet3,0,2,nodejs-docs-samples/CODE_OF_CONDUCT.md
iliojunior,mobile,0,4,www/lib/ngCordova/CODE_OF_CONDUCT.md
php4dev,heroku-wordpress,39,2,wp-content/plugins/wpvivid-backuprestore/vendor/google/auth/CODE_OF_CONDUCT.md
php4dev,heroku-wordpress,39,2,wp-content/plugins/amazon-s3-and-cloudfront/vendor/Gcp/google/auth/CODE_OF_CONDUCT.md
kalyan1985,powershell,1,149,CODE_OF_CONDUCT.md
maheshdandu346,sample,0,1,CODE_OF_CONDUCT.md
puyangsky,PKU-Kubernetes,0,341,code-of-conduct.md
salesforce,starport,0,1,CODE_OF_CONDUCT.md
salesforce,lwc,1019,47,CODE_OF_CONDUCT.md
benjivesterby,may2021-triangle-meetup,0,1,.github/CODE_OF_CONDUCT.md
fjThomasStanley,travisTesting,0,2,CODE_OF_CONDUCT.md
samtdavis,ai-economist-attempt,1,3,CODE_OF_CONDUCT.md
acse-2020,introduction,4,4,code_of_conduct.md
Zavagl,jekyll,0,391,docs/_docs/code_of_conduct.md
gazza2577,arduino,0,1,libraries/Adafruit_CircuitPython_PCA9685-master/Adafruit_CircuitPython_PCA9685-master/CODE_OF_CONDUCT.md
banurapp,web,8,7,CODE_OF_CONDUCT.md
stoe,template-nc,1,1,.github/code_of_conduct.md
stoe,template-nc,1,1,template/.github/code_of_conduct.md
MahmoudSendi77,BlogFashion,0,1,vendor/symfony/symfony/.github/CODE_OF_CONDUCT.md
viveksharma87,quick-r-ride,0,0,google-cloud-sdk-279.0.0-linux-x86_64/google-cloud-sdk/platform/gsutil/third_party/oauth2client/CODE_OF_CONDUCT.md
vinnyvinn,akaunting,2,1,vendor/league/commonmark/CODE_OF_CONDUCT.md
richstars,laravel-crud,0,1,vendor/league/commonmark/CODE_OF_CONDUCT.md
pubnub,pubnub-swift-csm,1,2,vendor/bundle/ruby/2.5.0/gems/google-cloud-storage-1.25.1/CODE_OF_CONDUCT.md
pubnub,pubnub-swift-csm,1,2,vendor/bundle/ruby/2.5.0/gems/google-cloud-env-1.3.1/CODE_OF_CONDUCT.md
pubnub,pubnub-swift-csm,1,2,vendor/bundle/ruby/2.5.0/gems/google-cloud-errors-1.0.0/CODE_OF_CONDUCT.md
pubnub,pubnub-swift-csm,1,2,vendor/bundle/ruby/2.5.0/gems/google-cloud-core-1.5.0/CODE_OF_CONDUCT.md
pubnub,pubnub-swift-csm,1,2,vendor/bundle/ruby/2.5.0/gems/googleauth-0.11.0/CODE_OF_CONDUCT.md
pubnub,pubnub-swift-csm,1,2,vendor/bundle/ruby/2.5.0/gems/google-api-client-0.36.4/CODE_OF_CONDUCT.md
little-cui,sc-dependency,0,1,bower_components/angular-ui-bootstrap/CODE_OF_CONDUCT.md
WalkerPi,sample_app,0,1,vendor/bundle/gems/mime-types-data-3.2015.1120/Code-of-Conduct.md
bmp3,kmwp,0,1,plugins/Google Sheet Connector/vendor/google/apiclient-services/CODE_OF_CONDUCT.md
troglobit,pimd,145,27,.github/CODE-OF-CONDUCT.md
amzn,smoke-aws,88,7,CODE_OF_CONDUCT.md
xmake-io,xmake,3595,44,CODE_OF_CONDUCT.md
jennladines,e-bikes,0,14,CODE_OF_CONDUCT.md
Johannes-Sahlmann,pystrometry,8,3,CODE_OF_CONDUCT.md
thomasrayner,powershell-so,0,239,CODE_OF_CONDUCT.md
Raspberry-Pi-4-MCU,ESP32-homekit-SHT20,0,1,homekit_adk/CODE_OF_CONDUCT.md
bitnami,bitnami-docker-spring-cloud-skipper,0,4,CODE_OF_CONDUCT.md
bitnami,bitnami-docker-sonarqube,42,5,CODE_OF_CONDUCT.md
bitnami,bitnami-docker-minio,19,8,CODE_OF_CONDUCT.md
bitnami,bitnami-docker-apache,90,19,CODE_OF_CONDUCT.md
PowerShell,PowerShellGetv2,346,34,CODE_OF_CONDUCT.md
ameernuri,rickle,0,2,platforms/android/assets/www/lib/pouchdb/CODE_OF_CONDUCT.md
ameernuri,rickle,0,2,www/lib/pouchdb/CODE_OF_CONDUCT.md
javamaasai,loginapp,0,1,www/bower_components/pouchdb/CODE_OF_CONDUCT.md
salesforce,QAConv,10,2,CODE_OF_CONDUCT.md
fsprojects,fantomas,500,72,CODE_OF_CONDUCT.md
llyradlenz,readme,0,1,_articles/code-of-conduct.md
kurone-kito,setup.windows,10,2,.github/CODE_OF_CONDUCT.md
adafruit,Adafruit_CircuitPython_FONA,6,6,CODE_OF_CONDUCT.md
patrikrufino,livre,0,1,CODE_OF_CONDUCT.md
JeremiahChurch,omniauth-notion,2,2,CODE_OF_CONDUCT.md
rodneylab,gatsby-functions-fauna,0,2,CODE_OF_CONDUCT.md
FarNaya,wordpress,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
musmanafzal019,firstapp,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
himadrivyas,Catering_template,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
Autoware-AI,core_planning,78,41,CODE_OF_CONDUCT.md
bbc,digital-paper-edit-cep,1,1,CODE_OF_CONDUCT.md
zyp461476492,foolish,0,2,themes/next/.github/CODE_OF_CONDUCT.md
nandeeshm,aws-serverless-ecommerce-platform,1,7,CODE_OF_CONDUCT.md
awslabs,python-deequ,147,4,CODE_OF_CONDUCT.md
M-Nakamura30,pictweet,0,1,vendor/bundle/gems/devise-4.5.0/CODE_OF_CONDUCT.md
mojyao,onodera_app,0,1,vendor/bundle/ruby/2.4.0/gems/devise-4.4.3/CODE_OF_CONDUCT.md
mojyao,onodera_app,0,1,vendor/bundle/ruby/2.4.0/gems/devise-4.5.0/CODE_OF_CONDUCT.md
p-duke,overtime-app,0,1,vendor/bundle/ruby/2.2.0/gems/devise-4.2.0/CODE_OF_CONDUCT.md
spacetelescope,subpixal,6,1,CODE_OF_CONDUCT.md
Mr-hiddenaire,P.siteT,0,0,wp-content/plugins/armember/lib/Stripe/vendor/stripe/stripe-php/CODE_OF_CONDUCT.md
reactjs,server-components-demo,3069,15,CODE_OF_CONDUCT.md
stripe,.github,4,1,CODE_OF_CONDUCT.md
reactjs,sr.reactjs.org,5,416,CODE_OF_CONDUCT.md
2moe,Aria2Manager,0,2,aria2/data/Program/git-for-windows/CODE_OF_CONDUCT.md
rokwire,events-manager,0,14,CODE_OF_CONDUCT.md
bitnami,bitnami-docker-rabbitmq,126,29,CODE_OF_CONDUCT.md
bitnami,bitnami-docker-mysql,124,18,CODE_OF_CONDUCT.md
tormyvancool,TormyVanCool_ReaPack_Scripts,2,1,CODE_OF_CONDUCT.md
skeifling,intro-to-semgrep,0,1,CODE_OF_CONDUCT.md
kjfossman,Fish-Processing-App,0,1,CODE_OF_CONDUCT.md
harrysolovay,testing-release-1,0,1,CODE_OF_CONDUCT.md
kaygb,RSSHubAuto,0,1,CODE_OF_CONDUCT.md
rpodcast,hotshots.dashboard,1,1,CODE_OF_CONDUCT.md
tidymodels,learntidymodels,41,7,CODE_OF_CONDUCT.md
WooRaZil-Boy,Raywenderlich_iOS,11,1,Videos/Combine_in_the_raywenderlich_com_App/CODE_OF_CONDUCT.md
phluid61,mug,2,1,code_of_conduct.md
ukan,refina,0,1,public/assets/frontend/porto/vendor/simple-line-icons/CODE_OF_CONDUCT.md
jardelnovaes,minhaescolamelhor,0,1,server/vendor/phpunit/phpunit/CODE_OF_CONDUCT.md
vhpoet,redux-pagination,8,1,CODE_OF_CONDUCT.md
sealink,humanized_id,0,7,CODE_OF_CONDUCT.md
vilison,work-order,0,1,vendor/phpunit/phpunit/CODE_OF_CONDUCT.md
atyenoria,myruby,1,0,my_libs/CODE_OF_CONDUCT.md
dvbtham,gicco,3,2,src/Gicco.WebHost/wwwroot/lib/simple-line-icons/CODE_OF_CONDUCT.md
josephyi,taric,14,3,CODE_OF_CONDUCT.md
Issacpeng,pushtest,0,1,kubernetes/code-of-conduct.md
salesforce,bazel-ls-vscode,3,5,CODE_OF_CONDUCT.md
yogeshkrishnani,QRBarcodeScanner,1,1,www/lib/pouchdb/CODE_OF_CONDUCT.md
krupchev,myproject,0,374,CODE_OF_CONDUCT.md
changchai,https-github.com-users-changchai-succession-invitation,0,1,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
changchai,https-github.com-users-changchai-succession-invitation,0,1,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
changchai,https-github.com-users-changchai-succession-invitation,0,1,content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
cai880210,layui-esri-js,0,2,libs/example/viewerjs-master/.github/CODE_OF_CONDUCT.md
dry-rb,dry-logic,128,30,CODE_OF_CONDUCT.md
coinninjadev,cnlib,0,2,CODE_OF_CONDUCT.md
thefrontside,emberx-file-reader,2,4,CODE_OF_CONDUCT.md
mono,shootout-benchmarks,0,2,CODE-OF-CONDUCT.md
changchai,---octo--barnacle,1,1,translations/de-DE/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
Nexosis,nexosisclient-java,1,6,CODE_OF_CONDUCT.md
apiology,docker-circleci-ruby,0,2,CODE_OF_CONDUCT.md
johnsyweb,yamllint-buildkite-plugin,0,1,CODE_OF_CONDUCT.md
oknozor,onagre,24,1,CODE_OF_CONDUCT.md
joshyOcuk,Zero-insight-patched,0,5,code_of_conduct.md
mgsisk,providence,0,1,CODE_OF_CONDUCT.md
bobozee,weatherino2.0,0,1,lib/DHT-sensor-library-master/code-of-conduct.md
jpmarion,fonosoft,0,1,vendor/league/oauth2-server/CODE_OF_CONDUCT.md
apb7,unassign,1,1,CODE_OF_CONDUCT.md
ajayvarghese2000,Maze-Solver,0,4,Library/Adafruit_LSM303DLH_Mag/code-of-conduct.md
KimSH1238,Cpp_n_etc-numerical,0,0,libraries/RTClib/code-of-conduct.md
KimSH1238,Cpp_n_etc-numerical,0,0,libraries/Adafruit_AVRProg/code-of-conduct.md
KimSH1238,Cpp_n_etc-numerical,0,0,libraries/DHT_sensor_library/code-of-conduct.md
KimSH1238,Cpp_n_etc-numerical,0,0,libraries/Adafruit_GPS_Library/code-of-conduct.md
KimSH1238,Cpp_n_etc-numerical,0,0,libraries/Adafruit_TouchScreen/code-of-conduct.md
KimSH1238,Cpp_n_etc-numerical,0,0,libraries/Adafruit_STMPE610/code-of-conduct.md
jennyythuynh,Not-Mine,0,379,CODE_OF_CONDUCT.md
Permanently,BedwarsBeggars,0,3,CODE_OF_CONDUCT.md
donatospinelli,barena-bianca-map,0,7,CODE_OF_CONDUCT.md
mike22664,messages,0,1,translations/zh-CN/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
mike22664,messages,0,1,translations/ja-JP/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
Hacknocraft,AFCarthageSample,0,1,Carthage/Checkouts/SlackTextViewController/CODE_OF_CONDUCT.md
Hacknocraft,AFCarthageSample,0,1,Carthage/Checkouts/AppFriendsCarthage/Carthage/Checkouts/SlackTextViewController/CODE_OF_CONDUCT.md
spaghettifunk,pinot-operator,5,1,CODE_OF_CONDUCT.md
apache,skywalking-ui,270,19,CODE_OF_CONDUCT.md
hiroshi-00,traning-memoz,0,1,vendor/bundle/ruby/2.5.0/gems/dry-equalizer-0.3.0/CODE_OF_CONDUCT.md
eharecz,LoRa_band,1,4,Projects/Watch/lib/libraries/Adafruit_DRV2605_Library/code-of-conduct.md
DmitryBorisenko33,libraries,0,1,RTClib/code-of-conduct.md
EmmanuelFm,Sycamore-T-Cephas-S-,0,1,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
EmmanuelFm,Sycamore-T-Cephas-S-,0,1,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
EmmanuelFm,Sycamore-T-Cephas-S-,0,1,content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
atapas,theme-builder,93,3,CODE_OF_CONDUCT.md
seastan,ringsdb,9,8,vendor/symfony/symfony/.github/CODE_OF_CONDUCT.md
benoitsteiner,tensorflow-xsmm,13,359,CODE_OF_CONDUCT.md
dlmu2001,customprint,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
PowerShell,GraphicalTools,340,10,CODE_OF_CONDUCT.md
tcls-esprit,Web,0,3,CDLC/vendor/symfony/symfony/.github/CODE_OF_CONDUCT.md
Qamcoin-Developers,Qamcoin,0,1,external/rocksdb/CODE_OF_CONDUCT.md
yf6666,PeakLearner-1.1,0,4,jbrowse/CODE_OF_CONDUCT.md
bitnami,bitnami-docker-spring-cloud-dataflow-shell,0,3,CODE_OF_CONDUCT.md
smurgai2016,kuberneteswebsite,0,374,content/en/community/code-of-conduct.md
Erraoudy,P1,0,2,vendor/symfony/symfony/.github/CODE_OF_CONDUCT.md
shouiii,m151-shopping-list,0,1,vendor/symfony/symfony/.github/CODE_OF_CONDUCT.md
rkanadam,registrar,0,1,bower_components/pouchdb/CODE_OF_CONDUCT.md
SFDC-Assets,EinsteinPlayground,1,1,CODE_OF_CONDUCT.md
lbeck37,ESP32,0,1,Arduino/Sketches/libraries/Adafruit_CCS811_Library/code-of-conduct.md
adafruit,Adafruit_MCP9808_Library,38,10,code-of-conduct.md
cesardevelops,CPP,1,1,OpenFrameworks/of_v0.11.0_osx_release/CODE_OF_CONDUCT.md
WillianPaiva,StopSmokingApp,0,1,www/lib/pouchdb/CODE_OF_CONDUCT.md
apulis,Apulis-AI-Platform,37,49,docs/code-of-conduct_en.md
salesforce,salesforce-risk,10,2,CODE_OF_CONDUCT.md
giathang,training_api,0,1,vendor/bundle/ruby/2.3.0/gems/devise-4.2.0/CODE_OF_CONDUCT.md
ahmadqawasmeh2,edu,0,1,vendor/stripe/stripe-php/CODE_OF_CONDUCT.md
tasitlabs,tasit-apps,29,6,.github/CODE_OF_CONDUCT.md
metabrainz,critiquebrainz,59,34,.github/CODE_OF_CONDUCT.md
liupeng0518,goharbor,0,1,code-of-conduct.md
submission001,anonymoussubmission_automl,0,1,autogluon/CODE_OF_CONDUCT.md
ruby2808,Project-final,0,2,QuizManagement.WebApplication/wwwroot/lib/cropper/.github/CODE_OF_CONDUCT.md
amahaya,Almace,0,1,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
Groutch,WPCommerce,0,2,wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
savemariglobal,savemariweb,0,0,Source/savemari.co.tz/wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
savemariglobal,savemariweb,0,0,Source/savemari.co.za/wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
savemariglobal,savemariweb,0,0,Source/savemari.co.ke/wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
BranigansLaw,wp-fumbling,0,1,wp-lone-local/wp-content/plugins/jetpack/CODE-OF-CONDUCT.md
