Owner,Repository,Star,Contributor,Path
TalariaSoftware,talariasoftware.github.io,0,1,_posts/2020-09-15-adopt_a_code_of_conduct.md
Gerar01,PaginaWeb,0,1,googleapi/vendor/google/auth/CODE_OF_CONDUCT.md
Gerar01,PaginaWeb,0,1,googleapi/CODE_OF_CONDUCT.md
sergiuchioreandev,sertanframework,0,1,vendor/league/commonmark/CODE_OF_CONDUCT.md
farrossiregar,cms-shierproject,0,1,vendor/league/commonmark/CODE_OF_CONDUCT.md
farrossiregar,cms-shierproject,0,1,vendor_old/league/commonmark/CODE_OF_CONDUCT.md
LynneKinyua,forum-2,0,1,vendor/league/commonmark/CODE_OF_CONDUCT.md
mohitoci,bigtable-client,0,35,CODE_OF_CONDUCT.md
aeon-ns,myVaultApp,0,1,www/lib/ng-cordova/CODE_OF_CONDUCT.md
thedarkprincedc,omcontentsubmission,0,1,app/libs/ui-bootstrap/CODE_OF_CONDUCT.md
pobsaeng,Angular,0,1,Angular Popular/ng-bootstrap/CODE_OF_CONDUCT.md
Ronhub88,solidarity-document,1,1,_articles/code-of-conduct.md
changchai,---octo--barnacle,1,1,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
changchai,---octo--barnacle,1,1,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
changchai,---octo--barnacle,1,1,content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
summac0,bookreview,0,1,vendor/cache/gems/devise-3.5.3/CODE_OF_CONDUCT.md
creativecommons,scholars-addenda,2,3,CODE_OF_CONDUCT.md
forcedotcom,SalesforceMobileSDK-UITests,3,3,CODE_OF_CONDUCT.md
future-daydayup,habor,0,111,code-of-conduct.md
pharsem,aws-chat-react,0,4,CODE_OF_CONDUCT.md
aws-robotics,cloudwatch-common,3,18,CODE_OF_CONDUCT.md
BryanLaura,Google-api-python-client,1,123,translations/de-DE/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
aerospike-community,vault-plugin-database-aerospike,19,3,CODE_OF_CONDUCT.md
mauilion,wardroom-nc,3,0,CODE-OF-CONDUCT.md
BhavinDhamecha,LapStore,0,0,vendor/bundle/gems/devise-4.4.3/CODE_OF_CONDUCT.md
AI-Vector-Accelerator,tensorflow,0,399,CODE_OF_CONDUCT.md
spacetelescope,nircam_jdox,0,2,CODE_OF_CONDUCT.md
binou95diallo,wari,0,2,MoneyTransfert/vendor/pagerfanta/pagerfanta/code_of_conduct.md
Rusino,skia,1,183,modules/canvaskit/canvaskit/CODE_OF_CONDUCT.md
Rusino,skia,1,183,modules/pathkit/npm-asmjs/CODE_OF_CONDUCT.md
Rusino,skia,1,183,modules/pathkit/npm-wasm/CODE_OF_CONDUCT.md
lioncorpo,Docs.,0,1,translations/de-DE/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
whchoi98,K8s,1,1,content/it/community/static/cncf-code-of-conduct.md
whchoi98,K8s,1,1,content/zh/community/static/cncf-code-of-conduct.md
whchoi98,K8s,1,1,content/en/community/static/cncf-code-of-conduct.md
depocoder,jekyll,1,391,docs/_docs/code_of_conduct.md
whchoi98,K8s,1,1,content/zh/community/code-of-conduct.md
logzio,logz-docs,10,28,CODE_OF_CONDUCT.md
sollo11,CS3113,0,11,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
sollo11,CS3113,0,11,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
sollo11,CS3113,0,11,content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
coracobra,psychic-bassoon,0,1,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
coracobra,psychic-bassoon,0,1,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
coracobra,psychic-bassoon,0,1,content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
johnpapa,swa-workshop,11,2,CODE_OF_CONDUCT.md
xXDarkGhostXx,Microsof-Terminal,0,97,CODE_OF_CONDUCT.md
degranda,pwa-polymer,0,0,public/bower_components/pouchdb/CODE_OF_CONDUCT.md
creativecommons,certificates-themes-plugins,0,2,CODE_OF_CONDUCT.md
Schmallet,psychic-spork,0,1,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
Schmallet,psychic-spork,0,1,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
Schmallet,psychic-spork,0,1,content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
forcedotcom,npm-release-management-orb,0,8,CODE_OF_CONDUCT.md
lioncorpo,Docs.,0,1,translations/de-DE/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
jkim1014,tfx-async,0,61,CODE_OF_CONDUCT.md
mamepon2580,twitterLike,0,0,vendor/bundle/ruby/2.5.0/gems/devise-4.5.0/CODE_OF_CONDUCT.md
openziti,dilithium,2,2,CODE_OF_CONDUCT.md
Krishnan97,new_success_repo,0,12,CODE_OF_CONDUCT.md
