repo,path
rbenv/ruby-build,CODE_OF_CONDUCT.md
houseabsolute/DateTime.pm,CODE_OF_CONDUCT.md
bkuhlmann/dotfiles,CODE_OF_CONDUCT.adoc
houseabsolute/DateTime-TimeZone,CODE_OF_CONDUCT.md
houseabsolute/Log-Dispatch,CODE_OF_CONDUCT.md
houseabsolute/Courriel,CODE_OF_CONDUCT.md
haacked/CodeHaacks,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-tracing,CODE_OF_CONDUCT.md
UNIVALI-LITE/Portugol-Studio,CODE_OF_CONDUCT.md
houseabsolute/DateTime-Locale,CODE_OF_CONDUCT.md
csf-dev/ZPT-Sharp,CODE_OF_CONDUCT.md
vorple/vorple,CODE_OF_CONDUCT.md
forcedotcom/SalesforceMobileSDK-iOS,CODE_OF_CONDUCT.md
rapid7/metasploit-framework,CODE_OF_CONDUCT.md
houseabsolute/Markdent,CODE_OF_CONDUCT.md
houseabsolute/Params-Validate,CODE_OF_CONDUCT.md
Kecon/JSocksProxy,CODE_OF_CONDUCT.md
rbenv/rbenv,CODE_OF_CONDUCT.md
lodestone/kindle,CODE_OF_CONDUCT.adoc
indico/indico,CODE_OF_CONDUCT.md
aws/aws-sdk-ruby,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-federation-management,CODE_OF_CONDUCT.md
albertz/CPython,CODE_OF_CONDUCT.rst
rabbitmq/rabbitmq-consistent-hash-exchange,CODE_OF_CONDUCT.md
foundation/foundation-sites,code-of-conduct.md
scala/docs.scala-lang,CODE_OF_CONDUCT.md
joecorcoran/cities,CODE_OF_CONDUCT.md
Commonjava/indy,CODE_OF_CONDUCT.md
miniupnp/miniupnp,CODE_OF_CONDUCT
dispatch/reboot,CODE_OF_CONDUCT.md
unrelentingtech/clj-http-fake,CODE_OF_CONDUCT.md
mailpile/Mailpile,CODE_OF_CONDUCT.md
okfn/licenses,CODE_OF_CONDUCT.md
MvvmCross/MvvmCross,CODE_OF_CONDUCT.md
